DRUGS,ROOTS,VARIANTS
candid,"candid, candid poudre","candid creme,
candid ovule,
candid poudre"
canne anglaise,canne anglaise,canne anglaise
captopril,captopril,captopril 25 mg
captum free style,captum free style,captum free style
cara flucau,cara flucau,cara flucau 150
carbactive,carbactive,carbactive gelule
carbigen,carbigen,"carbigen 20 mg,
carbigen 5 mg"
carbo,"carbo, carbocisteine, carbocisteine arrow,  carbotoux","carbo 2%,
carbo 5%, carbocisteine 5%,
carbocisteine arrow,
carbocisteine arrow sirop
carbotoux,
carbotoux 5 %"
carbosylane,carbosylane,carbosylane
carbosymag,carbosymag,carbosymag gelules
cardox,cardox,cardox 4mg
carnet,"carnet, carnet de sante",carnet de santé
carteol,carteol,"carteol 2%,
carteol lp 2%"
cartilamine,cartilamine,"cartilamine 150 mg,
cartilamine plus"
catacol,catacol,"catacol,
catacol collyre"
cataflam,cataflam,"cataflam,
cataflam 25,
cataflam 25 mg cp,
cataflam 50 mg,
cataflam sp"
catheter,"catheter, catheter bleu, catheter bleu sparadra, 
catheter jaune,  catheter rose, catheter rose bleu, catheters jaunes","catheter,
catheter g 22,
catheter bleu, sparadra,
catheter jaune,
catheter rose,
catheter rose + bleu
catheters jaunes"
cebrotonin,cebrotonin,cebrotonin
cefexol,cefexol,"cefexol 100 mg,
cefexol 400mg,
cefexol sp"
ceficap,ceficap,ceficap 400 mg
cefidis,cefidis,"cefidis 200,
cefidis 200 mg"
cefim,cefim,"cefim 100mg/5ml,
cefim 200,
cefim 400,
cefim sirop"
cefexim,cefexim,cefexim 400
cefixim,"cefixim, cefixim gh, cefixime","cefixim 200 mg,
cefixim sp,
cefixim gh,
cefixim gh sp,
cefixime,
cefixime 200,
cefixime sp"
cefolac,cefolac,"cefolac,
cefolac 200,
cefolac 200 mg"
ceftri,ceftri,ceftri 1g
celebid,celebid,"celebid,
celebid - 100mg,
celebid 1 00,
celebid 100,
celebid 100 mg,
celebid 200,
celebid 200 mg,
celebid 200mg"
celebrex,celebrex,"celebrex 100,
celebrex 100 mg,
celebrex 100mg,
celebrex 200,
celebrex 200 mg,
celebrex 200mg"
celestene,"celestene, celestene ou equivalent, celestene goutts, 
celestene ou betnovex","celestene,
celestene 10 mg,
celestene 2 mg,
celestene 2mg,
celestene 2mg cp,
celestene 4 mg,
celestene cp,
celestene goutte,
celestene goutte buvable,
celestene gouttes,
celestene gtt,
celestene gtte,
celestene gtte oral,
celestene gttes,
celestene sp,
gouttes celestene
celestene gouttes ou equivalent
celestene goutts,
celestene ou betnovex inj"
celliflore,celliflore,celliflore
celofen,celofen,"celofen 200 mg,
celofen 5 mg cp"
cepodem,cepodem,cepodem cp
certherpes,certherpes,certherpes
cerulyse,cerulyse,"cerulyse,
cerulyse gle,
cerulyse goutte,
cerulyse gttes,
cerulyse sol auriculaire"
cetafor,cetafor,cetafor inj
cetamyl,cetamyl,"cetamyl,
cetamyl 1 g,
cetamyl 1000,
cetamyl 1000 mg,
cetamyl 1g,
cetamyl 1g cp,
cetamyl 300,
cetamyl 300 mg,
cetamyl 300mg,
cetamyl 500,
cetamyl 500 eff,
cetamyl 500 mg,
cetamyl 500 sachet,
cetamyl 500mg,
cetamyl 500mg cp,
cetamyl cp,
cetamyl cp 1000,
cetamyl nrs,
cetamyl sachet 300 mg,
cetamyl sp"
cetraxal,"cetraxal, cetraxal otico","cetraxal,
cetraxal goutte,
cetraxal plus,
cetraxal plus goutte,
cetraxal plus gouttes,
cetraxal gtte otico,
cetraxal otico,
cetraxal otico plus"
cetrizine,cetrizine,cetrizine
cexolan,cexolan,cexolan collyre
cezin,cezin,"cezin 10 mg,
cezin 10 mg comprime,
cezin cp"
chambred'inhalation,"chambred'inhalation,
chambre d'hinalateur masque, 
chambre d'inhalation masque:,
chambre d'inhalation asle spicer,
chambre d'inhalation avec masque adapte,
chambre d'inhalation rossmax orange","chambre d' inhalation enfant,
chambre d'inhalation,
chambred'inhalation,
chambre d'hinalateur + masque,
chambre d'inhalation + masque,
chambre d'inhalation asle spicer,
chambre d'inhalation avec masque adapte,
chambre d'inhalation rossmax orange"
charbon belloc,charbon belloc,charbon belloc
chericof,chericof,"chericof,
chericof sirop,
chericof sp"
chibro cadron,"chibro cadron, chibro cadron collyr","chibro cadron,
chibro cadron colly,
chibro cadron collyre,
chibro cadron collyr"
chibroxine,chibroxine,chibroxine collyre
chlorhexidine,"chlorhexidine, chlorhexidine aqueuse","chlorhexidine 0,2%,
chlorhexidine aqueuse"
chlorhydrate d'heptaminol,"chlorhydrate d'heptaminol, chlorhydrate heptaminol","chlorhydrate d'heptaminol, chlorhydrate heptaminol"
choltec,choltec,"choltec 200000 ui,
choltec inj
"
chondrogen,chondrogen,chondrogen
"cica m, cica pmd
","cica m, cica pmd
","cica m,
cica m gel,
cica pmd
"
cicalfate,cicalfate,"cicalfate +,
cicalfate creme,
cicalfate plus
"
"
cicaplast","cicaplast, cicaplast baume","
cicaplast baume,
cicaplast baume b5,
cicaplast creme"
cifran,"cifran, cifran ct, cifran ubi","cifran,
cifran 500,
cifran 500 mg,
cifran 500 mg cp,
cifran 500mg,
cifran 750 mg,
cifran cp,
cifran ct,
cifran ct cp,
cifran ubi"
ciloxan,"ciloxan, ciloxan ou rifamycine, ciloxan pdel, ciloxan pomd","ciloxan,
ciloxan 0,3 % pde,
ciloxan 0,3% pde,
ciloxan coll,
ciloxan gtte,
ciloxan pmde,
ciloxan pommade,
ciloxan pde ou rifamycine pde,
ciloxan pdel,
ciloxan pomd"
cimelid,cimelid,cimelid +
cinet,cinet,cinet sirop
cipro,"cipro, cipro denk,ciproas, ciproas tz,
ciprofloxaciine, ciprofloxacin, ciprofloxacin accord pellic,
ciprofloxacine,
ciprofloxacine accord,
ciprofloxacine ubigen,
cipromed, cipromed tz
ciprozol, ciprozole","cipro 250,
cipro 500,
cipro 500mg,
cipro cp 750 mg,
cipro denk 500,
cipro denk 500 mg,
cipro denk 500 mg comprime,
cipro denk 750 mg cp,
ciproas cp,
ciproas tz,
ciprofloxaciine 750,
ciprofloxaciine 750mg comprime,
ciprofloxacin 500 mg,
ciprofloxacin accord 500mg cp pellic
ciprofloxacine 750 mg cp,
ciprofloxacine collyre,
ciprofloxacine accord 500 mg
ciprofloxacine ubigen
cipromed 500 cp,
cipromed cp 500 mg,
cipromed tz
ciprozol forte
ciprozole,
ciprozole forte,
ciprozole forte comprimes"
ciptin,ciptin,ciptin forte
citrate de betaine,citrate de betaine,citrate de betaine
clamox,"clamox, clamoxyl","clamox 1g,
clamoxyl 1000 cp,
clamoxyl 125 mg,
clamoxyl 125 mg sirop,
clamoxyl 1g,
clamoxyl 1g cp,
clamoxyl 1g dispersible,
clamoxyl 1g gelule,
clamoxyl 250,
clamoxyl 250 mg,
clamoxyl 250 mg sirop,
clamoxyl 250mg,
clamoxyl 500,
clamoxyl 500 mg,
clamoxyl 500 mg gel,
clamoxyl sirop 200 mg,
clamoxyl sp,
clamoxyl sp 125mg/5ml,
clamoxyl sp 1g,
clamoxyl sp 250mg/5 ml,
clamoxyl sp 500,
clamoxyl sp 500mg/5ml"
clarithro gh,clarithro gh,"clarithro 500 mg gh,
clarithro gh,
clarithro gh 500"
claritron,claritron,claritron 500
clarityne,clarityne,clarityne 10 mg cp
clariva,clariva,"clariva,
clariva 500,
clariva 500mg,
clariva comprime 500 mg"
clartec,clartec,"clartec 10,
clartec 10 mg,
clartec 10mg,
clartec comprime,
clartec cp,
clartec sirop,
clartec sp"
clarus,clarus,"clarus sirop,
clarus sp"
clavam,clavam,"clavam 1 g,
clavam 1g,
clavam 1g cp,
clavam cp,
clavam sp,
clavam sp 500"
clavicin xr,clavicin xr,"clavicin xr 1g,
clavicin-xr,
clavicin-xr 1000,
clavicin-xr 1g"
clavuject,clavuject,clavuject inj 1g
clavumoccid,clavumoccid,"clavumoccid,
clavumoccid 1000,
clavumoccid 1g comprimes,
clavumoccid cp"
cleanace mousant,cleanace mousant,cleanace gel mousant
cleanance,"cleanance, cleanance hydra d'avene","cleanance,
gel cleanance gel,
cleanance hydra d'avene creme"
cledomox,cledomox,cledomox 1g cp
cliptol,"cliptol, cliptol crem","cliptol,
cliptol gel,
cliptol crem"
clobex,clobex,clobex creme
clomid,clomid,"clomid,
clomid 50 mg,
clomid 50mg,
clomid 50mg cp,
clomid cp"
clomifex,clomifex,"clomifex,
clomifex cp"
clomigen,clomigen,"clomigen,
clomigen 50,
clomigen 50mg"
clomilen,clomilen,clomilen cp
clotri denk,"clotri denk, clotrimazol","clotri denk,
clotri denk creme,
clotri denk ovule,
clotrimazol creme"
co amoxiclav,co amoxiclav,"co amoxiclav sp 1g,
co-amoxiclav sp 500mg"
co aprovel,co aprovel,"co aprovel 300/12,5"
co arinate,co arinate,"co arinate,
co arinate adulte"
co avazir,co avazir,"co avazir,
co avazir collyre"
coartem,coartem,"coartem - 80/480,
coartem 20/120mg,
coartem 80/480,
coartem 80/480 mg,
coartem 80/480mg cp,
coartem 80mg/480mg,
coartem comp,
coartem cp,
coartem cp 80/480mg,
coartem cp dispersible"
codoliprane,codoliprane,"codoliprane,
codoliprane 1g,
codoliprane 400 mg/20 mg,
codoliprane cp"
cofantrine,cofantrine,"cofantrine 20/120,
cofantrine sirop"
colchicine,"colchicine, colchicine ou colchimax","colchicine 1mg cp,
colchicine ou colchimax 1 mg
"
colcibra,colcibra,"colcibra 200 mg,
colcibra cp 200,
colcibra sr 200 mg"
colicalmil,colicalmil,colicalmil gelule
colinil,colinil,"colinil goutte,
colinil gouttes"
collier cervical en mousse,collier cervical en mousse,collier cervical en mousse
colosar denk,colosar denk,"colosar denk,
colosar denk 50/12,5"
colseptine,colseptine,colseptine
combifrinil,combifrinil,"combifrinil,
combifrinil cp,
combifrinil sp"
combimal,combimal,"combimal,
combimal cp,
combimal cp 500"
combinal,combinal,combinal cp
compress,"compres sterile,
compreses x cm, compreses steriles
compress
compresse, compresse x, compresse sterile,
compresse steriles pm
compresses, compresses x cm,
compresses steriles,
compresses steriles pm","compres sterile,
compreses 30 x 30 cm
compreses steriles 40 x40
compress 40/40
compresse,
compresse 40,
compresse 40x40,
compresse 40 x 40,
compresse sterile,
compresse steriles pm
compresses,
compresses 40 x30,
compresses 40x40,
compresses 30 x 30 cm,
compresses steriles,
compresses steriles 20x20,
compresses steriles 40/40,
compresses steriles 40x40,
compresses steriles pm"
conasec,conasec,"conasec,
conasec cr,
conasec creme"
conceptio,conceptio,conceptio
concor amlo,concor amlo,"concor amlo 10/10,
concor amlo 5/5"
constilex,constilex,constilex stick
coquelusedal,"coquelusedal, coquelusedal suppos","coquelusedal suppo,
coquelusedal suppo enfant,
coquelusedal suppo nourrisson,
coquelusedal suppo nrs,
coquelusedal suppo nrss,
coquelusedal suppositoire nourrisson,
coquelusedal suppos nourrisson"
cordarone,cordarone,"cordarone 200 mg cp,
cordarone 200mg"
corneregel,"corneregel, corneregel oph","corneregel,
corneregel gel, 
corneregel oph"
correctol,correctol,"correctol,
correctol col,
correctol colly,
correctol collyre"
cortancyl,cortancyl,"cortancyl 20 mg,
cortancyl 20 mg cp,
cortancyl 20mg,
cortancyl 20mg cp"
cortis,cortis,"cortis 250 g,
cortis spray 250"
corvasal,corvasal,corvasal 2 mg
cotareg,cotareg,"cotareg 160/25mg,
cotareg 160mg/25mg,
cotareg 80mg/12,5"
cotipred,"cotipred, cotipred ou predni","cotipred,
cotipred 20,
cotipred 20 mg,
cotipred 20 mg comprime,
cotipred 20 mg cp,
cotipred 20 mg cp dispersible,
cotipred 20 mg dispersible,
cotipred 20 mg effervescent,
cotipred 20m cp,
cotipred 20mg,
cotipred 20mg comprime,
cotipred 20mg cp,
cotipred cp 20,
cotipred ou predni 20 mg effervescent"
coton,"coton, coton alcool pedia","coton, 
coton + alcool pedia
"
cotrex,cotrex,"cotrex cp
"
cotri,cotri,"cotri cp, 
cotri sirop, 
cotri sp
"
coveram,coveram,"coveram 10/10, 
coveram 10/10 cp, 
coveram 5/5
"
coversyl,coversyl,coversyl 5 mg
coxiwood,coxiwood,"coxiwood cp
"
cozaar denk,cozaar denk,cozaar denk
litacold,"litacold, litacold bame, litacold baume, litacold baume bebe,
litacold bbaume, litacold douleur, litacold j et n, 
litacold jour et nuit, litacold jour nuit, litacold max nuit, 
litacold nasal, litacold nuit, litacold nuit max, litacold respi, 
litacold rhume, litacold rhume jour nuit, litacold rhume nuit et jour,
litacold vaporub bebe, litacold vapour, litacold vapour rub, 
litacold vapour rub bebe","cp litacold, 
litacold, 
litacold -sirop nourrison, 
litacold cp, 
litacold junior, 
litacold pommade, 
litacold pommade bb, 
litacold sirop, 
litacold sp, 
litacold spray, 
litacold j et n, 
litacold bame, 
litacold baume, 
litacold baume adulte, 
litacold baume bb, 
litacold baume nrs, 
litacold baume bebe, 
litacold bbaume, 
litacold comp jour et nuit, 
litacold jour et nuit, 
litacold douleur, 
litacold douleur cp, 
litacold jour-nuit, 
litacold max nuit, 
litacold nuit, 
litacold nuit max, 
litacold respi, 
litacold rhume, 
litacold rhume jour nuit, 
litacold rhume jour/ nuit, 
litacold rhume nuit et jour, 
litacold spray nasal, 
litacold vaporub bebe, 
litacold vapour, 
litacold vapour rub, 
litacold vapour rub bebe"
neocodion,neocodion,cp neocodion
voltarene,"voltarene, voltarene emulgel","cp voltarene 75 mg, 
voltarene, 
voltarene 50mg, 
voltarene 50mg comprime, 
voltarene 50mg cp, 
voltarene 75 mg, 
voltarene cp, 
voltarene cp 75 mg, 
voltarene creme, 
voltarene gel, 
voltarene lp 100 mg, 
voltarene lp 75 mg, 
voltarene pommade, 
voltarene emulgel, 
voltarene emulgel pde"
de change,de change,creme de change
icyane hd,icyane hd,creme icyane hd
jour yafa,jour yafa,creme jour yafa
nuit yafa,nuit yafa,creme nuit yafa
crestor,crestor,"crestor 10 mg,
crestor 10mg"
croisard,croisard,"croisard,
croisard 500
"
croiscard,croiscard,"croiscard,
croiscard sp"
cromax,cromax,cromax-2
cromolex,cromolex,"cromolex,
cromolex collyre"
crosscal,crosscal,"crosscal,
crosscal 500 mg cp,
crosscal 500mg,
crosscal cp,
crosscal sirop"
curacne,"curacne, curacne ge, curacne molle","curacne 10mg capsule molle,
curacne 40mg capsule molle,
curacne 20mg,
curacne g 20mg,
curacne ge 20,
curacne ge 20 mg,
curacne ge 40 mg"
curam,"curam, curam st","curam,
curam 1000,
curam 1g,
curam 1g sachet,
curam 1g sachets,
curam 500,
curam 500 cp,
curam 500 mg,
curam 500 mg sachet,
curam comp 1000,
curam cp,
curam cp 500 mg,
curam enfant,
curam inj,
curam sirop,
curam sp,
curam sp 100 mg,
curam susp,
curam 1g st"
cure flash,cure flash,cure flash vitamin'22
curtec,curtec,"curtec,
curtec 10 mg,
curtec 10mg,
curtec cp,
curtec sirop,
curtec sp"
cutacnyl,cutacnyl,"cutacnyl,
cutacnyl 10 %"
cuterpes,cuterpes,"cuterpes
"
cuticell,cuticell,cuticell
cyclo,cyclo,"cyclo 3 fort,
cyclo 3 fort comprime,
cyclo 3 fort cp,
"
cyclodex,cyclodex,cyclodex 20 mg
cyteal,"cyteal, cyteal gm, cyteal grd format, cyteal ou till, cyteal pm, 
cyteal savon, cyteal savon liquide","cyteal,
cyteal 150 ml,
cyteal lotion,
cyteal solution,
cyteal gm,
cyteal lotion gm,
cyteal solution gm,
cyteal pm,
cyteal solution pm,
cyteal lotion grd format,
cyteal ou till,
cyteal savon,
cyteal savon liquide"
cyvax,cyvax,"cyvax 250
"
dacryoserum,"dacryoserum, dacryoserum dosette de, dacryoserum lavage, 
dacryoserum p lavage opht","dacryoserum,
dacryoserum solution,
dacryoserum unidose,
dacryoserum dosette de 5 ml,
dacryoserum lavage,
dacryoserum sol p lavage opht
"
daflon,daflon,"daflon,
daflon - 1000mg, b/30,
daflon 1 g cp,
daflon 1000,
daflon 1000 cp,
daflon 1000 mg,
daflon 1000mg,
daflon 1000mg cp,
daflon 1g,
daflon 500,
daflon 500mg,
daflon cp,
daflon cp 1 g"
dafrazol,dafrazol,"dafrazol,
dafrazol 20
"
dakel kit,dakel kit,"dakel kit
"
dazel kit,dazel kit,"dazel kit,
dazel kit cp"
dakin,"dakin, dakin cooper pm, dakin pm","dakin,
dakin solution,
dakin pm,
dakin cooper pm
"
daktarin,"daktarin, daktarin buccal, daktarin emulgel","daktarin,
daktarin gel,
daktarin emulgel,
daktarin gel buccal
"
dap,dap,"dap sp
"
daxol,daxol,"daxol gtte,
daxol gttes,
daxol sp
"
debridat,debridat,"debridat,
debridat comprime,
debridat comprimes,
debridat cp,
debridat sirop,
debridat sp"
decoderm,"decoderm, decoderm tri","decoderm pde,
decoderm tri,
decoderm tri creme"
defal,"defal, defal gts","defal 30,
defal 30mg,
defal 6 mg,
defal cp 30 mg,
defal goutte,
defal gouttes,
defal gtte,
defal gttes,
defal gts"
deller,deller,deller 5mg cp
depakine,"depakine, depakine chrono","depakine 500,
depakine sirop,
depakine 500 chrono,
depakine chrono 500"
depiwhite acm,depiwhite acm,depiwhite acm lait
dermia d,"dermia d, dermia salicia, dermia salicia crem","dermia d,
dermia d creme,
dermia salicia crem,
dermia salicia creme
"
dermobacter,"dermobacter, dermobacter moussant","dermobacter,
dermobacter solt,
dermobacter solut,
dermobacter solution,
dermobacter gel moussant"
dermofix,dermofix,"dermofix
"
dermosalic,dermosalic,"dermosalic,
dermosalic creme,
dermosalic pmde,
dermosalic solution
"
dermosone,dermosone,"dermosone -pommade,
dermosone creme,
dermosone lotion,
dermosone pde
"
dermoval,dermoval,"dermoval creme
"
deroxat,deroxat,deroxat cp
desarrol,desarrol,"desarrol sirop,
desarrol sp
"
deslo,"deslo
deslor,
deslora, deslora bgr, deslora denk, deslora gh, 
desloratadine, desloratadine bgr, desloratadine biogaran, desloratadine gh","deslo
deslor 5,
deslor 5mg
deslora,
deslora bgr cp,
deslora gh,
deslora denk,
deslora denk 5 mg,
deslora denk cp
desloratadine 5 mg,
desloratadine cp,
desloratadine 5 mg gh,
desloratadine gh,
desloratadine gh - 5mg, b/15,
desloratadine gh 5 mg,
desloratadine gh 5mg,
desloratadine gh 5mg cp,
desloratadine gh sirop,
desloratadine bgr cp,
desloratadine biogaran"
desomedine,desomedine,"desomedine,
desomedine - 10mg, fl/10ml,
desomedine coll,
desomedine collyre
"
desyrel,desyrel,"desyrel,
desyrel sirop,
desyrel solution,
desyrel sp
"
detensiel,detensiel,"detensiel 10mg cp

"
detensirel,detensirel,detensirel 10 mg cp
dexaprin,dexaprin,"dexaprin collyre
"
dexchlo,"dexchlo, dexchlor
dexchlorpheniramine","dexchlo sp
dexchlor sp
dexchlorpheniramine sp
"
dexeryl,"dexeryl, dexerylcreme","dexeryl creme,
dexeryl crm,
dexeryl lait
dexerylcreme
"
dexorich,dexorich,"dexorich sirop
"
dexpure,dexpure,"dexpure,
dexpure 10mg,
dexpure cp
"
dextro,dextro,dextro
dexyane,"dexyane, dexyane baume, dexyane baumme emollient, dexyane med","dexyane baume,
dexyane baumme emollient,
dexyane creme,
dexyane lait,
dexyane med
"
diamicron,diamicron,"diamicron - 60 mg,
diamicron 10,
diamicron 60,
diamicron 60 mg,
diamicron 60 mg cp,
diamicron 60mg,
diamicron cp 60"
diamox,diamox,"diamox 250,
diamox 250mg
"
diane cdrg,diane cdrg,"diane - 35 cdrg
"
diantalex,diantalex,"diantalex,
diantalex cp
"
diastop,diastop,"diastop,
diastop sp
"
diazepam,diazepam,"diazepam 10 mg
"
dicetel,dicetel,"dicetel 100
"
diclaval,diclaval,"diclaval suppo
"
diclo,"diclo, diclo denk, diclo pharma
dicloced
diclofenac
diclowal","diclo,
diclo cp,
diclo 5 pharma suppo,
diclo denk 75 injecatble,
diclo denk suppo,
dicloced,
dicloced 1 mg col,
dicloced col,
dicloced collyre
diclofenac,
diclofenac 50 mg,
diclofenac cp 500 mg
diclowal 100,
diclowal spray,
diclowal suppo
"
dicynone,"dicynone, dicynone ou equivalent","dicynone 500,
dicynone cp,
dicynone ou equivalent
"
dietaz,dietaz,"dietaz sp
"
difenasol,difenasol,"difenasol
"
differine,differine,"differine gel
"
diflucan,diflucan,"diflucan 150 mg,
diflucan 150mg
"
diflustero,diflustero,diflustero
digest haleine,digest haleine,"digest haleine
"
dipara,dipara,"dipara cp
"
diprolene,diprolene,"diprolene pde,
diprolene pommade
"
diprosalic,diprosalic,"diprosalic creme,
diprosalic lotion,
diprosalic pommade
"
diprosone,diprosone,"diprosone,
diprosone 0.05%,
diprosone 0.05% creme,
diprosone creme
diprosone inj,
diprosone pde,
diprosone pmde,
diprosone pommade,
diprosone pommade 0.05%
"
diprostene,"diprostene, diprostene inectable en seringue pre remplie","diprostene inj,
diprostene injectable,
diprostene suspension inectable en seringue pre remplie
"
dislep,"dislep, dislepamp","dislep,
dislep 25,
dislep 25 comp,
dislep 25 cp,
dislep 25 mg,
dislep 25 mg cp,
dislep 25mg,
dislep comprime,
dislep comprimes,
dislep cp,
dislep cp 25 mg,
dislep im,
dislep inj,
dislepamp inj
"
dismigras,dismigras,"dismigras 10,
dismigras 10 mg,
dismigras 10mg,
dismigras 20mg
"
dispamox,"dispamox, dispamox dis","dispamox 1g,
dispamox 1g comp,
dispamox 1g comprimes,
dispamox 1g cp,
dispamox cp dis
"
distem,distem,"distem,
distem comp,
distem comprime,
distem cp

"
dolamine,dolamine,"dolamine,
dolamine 500 mg,
dolamine comprimes,
dolamine cp"
dolbufen,dolbufen,"dolbufen,
dolbufen comprimes
"
dolcare,dolcare,"dolcare,
dolcare 75
"
dolex,dolex,"dolex,
dolex 50,
dolex 50 mg,
dolex 50 mg cp,
dolex 50mg,
dolex 75,
dolex 75 mg,
dolex 75 mg cp,
dolex 75 sr,
dolex 75mg,
dolex collyre,
dolex sr 75 mg cp"
dolimex,dolimex,"dolimex
"
doliprane,"doliprane, doliprane codeine, doliprane effer, doliprane efferalgan,
 doliprane gr, doliprane gram efferves, doliprane pediatrique, doliprane sach, 
doliprane sht, doliprane sqchets, doliprane vit c, dolipraneg, dolipraneg cp","doliprane,
doliprane - 500mg, b/16,
doliprane - fl/100ml,
doliprane -300 sachet,
doliprane 100 cp,
doliprane 100 eff,
doliprane 100 mg comprime,
doliprane 100 mg sup,
doliprane 100 mg suppo,
doliprane 100 mg suppositoire,
doliprane 1000,
doliprane 1000 cp,
doliprane 1000 cp sec,
doliprane 1000 eff,
doliprane 1000 effervescent,
doliprane 1000 mg,
doliprane 1000 mg cp,
doliprane 1000 mg cp sec,
doliprane 1000mg,
doliprane 1000mg cp effervescent,
doliprane 150 mg,
doliprane 150 mg sachets,
doliprane 150 mg suppo,
doliprane 150 suppo,
doliprane 1g,
doliprane 1g comp sec,
doliprane 1g cp,
doliprane 1g cp efferv,
doliprane 1g cp sec,
doliprane 1g sec,
doliprane 1g secable,
doliprane 200 mg suppo,
doliprane 200mg,
doliprane 300,
doliprane 300 mg,
doliprane 300 mg sachet,
doliprane 300 mg scht,
doliprane 300 mg suppo,
doliprane 300 sachet,
doliprane 300 suppo,
doliprane 300mg,
doliprane 300mg sachet,
doliprane 500,
doliprane 500 cp eff,
doliprane 500 efferv,
doliprane 500 mg,
doliprane 500 mg cp,
doliprane 500 mg effervescent,
doliprane 500mg,
doliprane cp 1000,
doliprane cp 1000 mg,
doliprane cp 1g,
doliprane cp 500 mg,
doliprane cp eff 1g,
doliprane sachet 200,
doliprane sachet 300,
doliprane sachet 300 mg,
doliprane sachet 300mg,
doliprane sachets 300 mg,
doliprane scht 300,
doliprane scht 300 mg,
doliprane sirop,
doliprane sp,
doliprane suppo,
doliprane suppo 100 mg,
doliprane suppo 150 mg,
doliprane suppo 200 mg,
doliprane+ 300,
doliprane1g,
doliprane1g cp,
doliprane - vit c cp,
doliprane vit c,
doliprane vit c 500/150,
doliprane 1 gr cp,
doliprane 300 mg sach,
doliprane 300mg sach,
doliprane 500 mg sht,
doliprane 1 gram efferves,
doliprane 500 mg effer,
doliprane 500 mg sqchets,
doliprane codeine,
doliprane pediatrique,
doliprane sirop efferalgan"
dolodent,dolodent,"dolodent,
dolodent gel
"
doloforte,"doloforte, doloforte denk, doloforte denk ou t dol","doloforte,
doloforte +,
doloforte cp,
doloforte denk,
doloforte denk comprime,
doloforte denk ou t-dol
"
dologan,"dologan, dologan denk","dologan,
dologan cp,
dologan denk
"
dologel,"dologel, dologel buccal, dologel gingival","dologel,
dologel gel buccal,
dologel gel gingival
"
dolormin,dolormin,"dolormin cp
"
doloseptyl,doloseptyl,"doloseptyl
"
dolospasm,dolospasm,"dolospasm
"
dolotren,dolotren,"dolotren,
dolotren 100 cp,
dolotren 50 mg,
dolotren dispersible,
dolotren gel,
dolotren retard,
dolotren suppo"
dolowin,dolowin,"dolowin 100,
dolowin 500 mg,
dolowin cp,
dolowin plus 100 mg,
dolowin sr,
dolowin sr cp
"
dompawood,dompawood,"dompawood
"
donormyl,donormyl,"donormyl,
donormyl - b/30,
donormyl 15 mg,
donormyl 15 mg gel,
donormyl 15mg,
donormyl cp
"
dornomyl,dornomyl,"dornomyl
"
dontomycine,dontomycine,"dontomycine 3 mui,
dontomycine 3mui
"
dostinex,dostinex,"dostinex,
dostinex 0,5"
dotarem,dotarem,"dotarem 0,5ml/ml
"
doulerex,doulerex,"doulerex
"
doxy,"doxy, doxy alto, doxy denk, doxyatco
doxycycline","doxy 100,
doxy 100 mg,
doxy 100mg,
doxy 200,
doxy 200 cp,
doxy 200 mg,
doxy 200 mg cp,
doxy 200mg,
doxy 200mg cp,
doxy cp,
doxy cp 100 mg,
doxy 200 denk,
doxy denk 100 mg,
doxy alto 100
doxyatco,
doxyatco 100,
doxyatco 100 mg
doxycycline 100mg
"
drenoxol,drenoxol,"drenoxol,
drenoxol amp,
drenoxol sp"
drill,"drill, drill pastille sans sucre, drill pastilles, drill pastilles sans sucre, 
drill rhume, drill rhume ou rinogrip sans sucre, drill toux seche,
drillpastille","drill (toux seche),
drill toux seche,
drill cp,
drill pastille sans sucre,
drill pastilles,
drill pastilles sans sucre,
drill rhume,
drill rhume ou rinogrip sans sucre
drill pastille,drillpastille"
duotrav,duotrav,"duotrav collyre,
duotrav gtte
"
duphalac,"duphalac, duphalac sac, duphalac sacht","duphalac,
duphalac sachet,
duphalac sirop,
duphalac sp,
duphalac stick,
duphalac sac,
duphalac sacht"
dupholac,dupholac,dupholac
duphaston,duphaston,"duphaston,
duphaston 10,
duphaston 10 cp,
duphaston 10 mg,
duphaston 10mg,
duphaston 20 cp 10mg,
duphaston 20 mg,
duphaston cp"
duspatalin,duspatalin,"duspatalin,
duspatalin 200,
duspatalin 200 gelules,
duspatalin 200mg,
duspatalin cp"
dycinone,dycinone,"dycinone
"
dyldes,dyldes,"dyldes 5,
dyldes 5 mg,
dyldes 5 mg cp,
dyldes 5mg,
dyldes cp,
dyldes cp 10 mg,
dyldes cp 5 mg,
dyldes sirop,
dyldes sp"
dynamogen,dynamogen,"dynamogen,
dynamogen amp,
dynamogen amp buv,
dynamogen ampoule,
dynamogen ampoules,
dynamogen ampoules buvables"
dynamogne,dynamogne,dynamogne
dynapar,"dynapar, dynapar ec, dynapar ou genforte, dynapar paracetamol diclo, 
dynapar qps","dynapar,
dynapar - 500/50mg, b/100,
dynapar 100,
dynapar 100 mg,
dynapar 100 sr,
dynapar 50 mg,
dynapar 50/500,
dynapar 50/500 cp,
dynapar 500 mg,
dynapar 500/50mg cp,
dynapar cp,
dynapar cp 50/500,
dynapar gel,
dynapar inj,
dynapar injectable,
dynapar pde,
dynapar pmde,
dynapar pommade,
dynapar spray,
dynapar sr 100 mg,
dynapar 50 ec,
dynapar ec,
dynapar ec 50,
dynapar qps,
dynapar qps 30 ml,
dynapar spray qps,
dynapar ( paracetamol + diclo),
dynapar ou genforte"
